
millis,ldr_raw,ldr_ema,joyx_raw,joyx_ema,joyy_raw,joyy_ema,mic_raw,mic_ema,sw
50,264,263.2,512,512.0,520,520.0,46,46.0,0
100,263,263.2,512,512.0,520,520.0,46,46.0,0
150,264,263.4,512,512.0,521,520.2,46,46.0,0
200,263,263.3,512,512.0,520,520.2,46,46.0,0
250,264,263.5,512,512.0,520,520.1,46,46.0,0
300,263,263.4,512,512.0,520,520.1,47,46.2,0
350,264,263.5,513,512.2,520,520.1,46,46.2,0
400,263,263.4,512,512.2,520,520.1,45,45.9,0
450,264,263.5,513,512.4,520,520.0,46,45.9,0
500,264,263.7,513,512.5,520,520.0,45,45.7,0
550,263,263.5,512,512.4,521,520.3,46,45.8,0
600,264,263.6,512,512.3,520,520.2,46,45.8,0
650,264,263.7,512,512.2,520,520.2,46,45.9,0
700,264,263.8,513,512.4,520,520.1,46,45.9,0
750,263,263.6,512,512.3,520,520.1,45,45.7,0
800,264,263.7,512,512.2,520,520.1,46,45.8,0
850,263,263.5,512,512.2,520,520.0,46,45.8,0
900,264,263.6,513,512.4,520,520.0,46,45.9,0
950,263,263.5,512,512.3,520,520.0,45,45.6,0
1000,264,263.6,512,512.2,520,520.0,46,45.7,0
1050,264,263.7,512,512.2,519,519.8,45,45.6,0
1100,264,263.8,513,512.4,520,519.8,46,45.7,0
1150,264,263.8,512,512.3,521,520.1,45,45.5,0
1200,264,263.9,512,512.2,520,520.1,45,45.4,0
1250,264,263.9,512,512.2,521,520.3,45,45.3,0
1300,264,263.9,513,512.4,520,520.2,47,45.7,0
1350,264,263.9,513,512.5,520,520.2,46,45.8,0
1400,263,263.7,512,512.4,521,520.4,45,45.6,0
1451,264,263.8,512,512.3,520,520.3,46,45.7,0
1501,263,263.6,512,512.2,520,520.2,45,45.5,0
1551,264,263.7,512,512.2,520,520.2,46,45.6,0
1601,264,263.8,512,512.1,520,520.1,45,45.5,0
1651,265,264.1,513,512.3,520,520.1,46,45.6,0
1701,264,264.1,512,512.3,520,520.1,45,45.5,0
1751,265,264.3,513,512.4,520,520.1,46,45.6,0
1801,264,264.2,512,512.3,520,520.0,46,45.7,0
1851,265,264.4,513,512.5,520,520.0,46,45.8,0
1901,265,264.6,512,512.4,520,520.0,46,45.8,0
1951,264,264.4,512,512.3,520,520.0,46,45.9,0
2001,264,264.3,512,512.2,520,520.0,46,45.9,0
2051,264,264.2,512,512.2,520,520.0,45,45.7,0
2101,264,264.2,512,512.1,520,520.0,46,45.8,0
2151,265,264.4,512,512.1,521,520.3,44,45.3,0
2201,264,264.3,512,512.1,520,520.2,46,45.5,0
2251,265,264.5,512,512.0,520,520.1,45,45.4,0
2301,264,264.3,512,512.0,520,520.1,46,45.5,0
2351,264,264.3,513,512.3,521,520.3,46,45.6,0
2401,264,264.2,512,512.2,520,520.2,45,45.5,0
2451,264,264.1,513,512.4,520,520.2,46,45.6,0
2501,264,264.1,512,512.3,519,519.9,46,45.7,0
2551,264,264.1,512,512.2,520,519.9,46,45.8,0
2601,265,264.3,512,512.2,519,519.7,45,45.6,0
2651,264,264.2,512,512.1,521,520.0,46,45.7,0
2701,265,264.4,512,512.1,520,520.0,45,45.5,0
